preco;valor_m2;quartos;suites;vagas;espaco;latitude;longitude
390000.0;8863.0;1;0;0;44.0;-15.836631976279;-48.042906345641
720000.0;7058.0;3;2;2;102.0;-15.84067;-48.02206
880000.0;8543.0;3;2;2;103.0;-15.841345122238;-48.019032846386
439000.0;9755.0;1;0;0;45.0;-15.84067;-48.02206
930000.0;9893.0;3;2;2;94.0;-15.833969561015;-48.036708072058
599000.0;9286.0;1;1;1;64.0;-15.836768410907;-48.017797942094
1550000.0;9393.0;4;3;3;165.0;-15.84067;-48.02206
630000.0;7682.0;2;0;0;82.0;-15.834902512606;-48.019895881256
350000.0;9459.0;1;0;0;37.0;-15.838701645321;-48.036807093913
2800000.0;9859.0;4;4;4;284.0;-15.84067;-48.02206
565000.0;8308.0;2;0;0;68.0;-15.84067;-48.02206
650000.0;9701.0;2;0;0;67.0;-15.83455;-48.03885
1360000.0;8000.0;4;3;3;170.0;-15.841588540578;-48.034840608837
950000.0;8482.0;3;2;2;112.0;-15.836200006696;-48.033500005507
920000.0;10000.0;3;2;2;92.0;-15.843075011318;-48.028464996269
320000.0;9696.0;1;1;1;33.0;-15.84067;-48.02206
719000.0;7815.0;3;2;2;92.0;-15.830381600035;-48.032633560512
720000.0;11592.0;2;1;1;62.0;-15.834165006333;-48.038544989209
375000.0;10135.0;1;0;0;37.0;-15.832899988551;-48.018114980319
1100000.0;8333.0;4;2;2;132.0;-15.843415626518;-48.024210171831
445000.0;8829.0;2;0;0;50.0;-15.838345569024;-48.029974218802
1220000.0;9172.0;3;3;3;133.0;-15.836534989456;-48.01198500116
1100000.0;8029.0;3;2;2;137.0;-15.841345122238;-48.019032846386
1090000.0;7730.0;4;2;2;141.0;-15.834902512606;-48.019895881256
829999.0;7830.0;3;2;2;106.0;-15.839758276622;-48.03437398531
480000.0;6956.0;2;2;2;69.0;-15.83263347211;-48.014091547176
440000.0;7857.0;2;1;1;56.0;-15.854895694028;-48.037294222577
895000.0;7047.0;3;2;2;127.0;-15.837020008283;-48.016994990416
1050000.0;9051.0;3;3;3;116.0;-15.831060379564;-48.012730940109
499000.0;5423.0;3;2;2;92.0;-15.83939895395;-48.014465370993
719000.0;7583.0;3;2;2;94.0;-15.836485012358;-48.018820024104
495000.0;9705.0;1;1;1;51.0;-15.838685071444;-48.028773031088
950000.0;7480.0;3;2;2;127.0;-15.84067;-48.02206
305000.0;8970.0;1;1;1;34.0;-15.836765009834;-48.019485002393
799000.0;7330.0;4;2;2;109.0;-15.831075851288;-48.015214627468
329000.0;9969.0;1;0;0;33.0;-15.836631976279;-48.042906345641
350000.0;10294.0;1;0;0;34.0;-15.841842667042;-48.021175574139
825000.0;8492.0;4;3;3;97.0;-15.84067;-48.02206
840000.0;7604.0;2;2;2;110.0;-15.84067;-48.02206
590000.0;7023.0;3;2;2;84.0;-15.836631976279;-48.042906345641
480000.0;6666.0;3;2;2;72.0;-15.830019987575;-48.015514997773
330000.0;8461.0;1;1;1;39.0;-15.83871;-48.02517
135000.0;1730.0;2;1;1;78.0;-15.877041150707;-48.013339977718
1220000.0;9384.0;3;3;3;130.0;-15.836200006696;-48.033500005507
749000.0;9362.0;2;1;1;80.0;-15.836768410907;-48.017797942094
965000.0;8784.0;4;2;2;109.0;-15.84067;-48.02206
920000.0;9292.0;2;1;1;99.0;-15.836918381182;-48.039159954942
639000.0;6520.0;3;2;2;98.0;-15.836485012358;-48.018820024104
799000.0;8591.0;2;2;2;93.0;-15.838685071444;-48.028773031088
310000.0;9393.0;1;1;1;33.0;-15.836631976279;-48.042906345641
495000.0;6689.0;3;2;2;74.0;-15.834665007812;-48.012055031961
795000.0;8736.0;3;2;2;91.0;-15.84067;-48.02206
400000.0;9090.0;1;1;1;44.0;-15.836631976279;-48.042906345641
830000.0;7830.0;3;2;2;106.0;-15.839758276622;-48.03437398531
320000.0;9696.0;1;0;0;33.0;-15.841920228821;-48.029991698267
2250000.0;8490.0;4;4;4;265.0;-15.841842667042;-48.021175574139
1290000.0;8216.0;4;2;2;157.0;-15.838380765547;-48.011476184693
550000.0;8088.0;2;1;1;68.0;-15.834165006333;-48.038544989209
819000.0;5571.0;4;3;3;147.0;-15.838701645321;-48.036807093913
920000.0;6433.0;4;2;2;143.0;-15.837135007995;-48.029319992303
2800000.0;9655.0;4;3;3;290.0;-15.843415626518;-48.024210171831
380000.0;6129.0;3;2;2;62.0;-15.82753520327;-48.011338064854
1400000.0;9655.0;4;3;3;145.0;-15.835205011924;-48.030154997497
1150000.0;9745.0;3;2;2;118.0;-15.84067;-48.02206
1200000.0;8108.0;3;2;2;148.0;-15.83915;-48.03892
600000.0;7383.0;2;1;1;81.0;-15.838053465316;-48.03806388527
390000.0;9069.0;1;1;1;43.0;-15.836631976279;-48.042906345641
370000.0;8809.0;1;0;0;42.0;-15.841920228821;-48.029991698267
480000.0;8971.0;2;1;1;53.0;-15.836765009834;-48.019485002393
1560000.0;9629.0;4;3;3;162.0;-15.84067;-48.02206
999000.0;7568.0;4;3;3;132.0;-15.84067;-48.02206
